"English","Danish","Dutch","Finnish","French","German","Indonesian","Italian","Japanese","Latin","Norwegian","Portugese","Spanish","Swahili","Swedish"
"a","på, om, en, i, et","binnen, in, te, per","joku","quelqu'un, dans, un","ein","-","un","ato","in, aliquis","en, et","em, alguém","una, en, alguno, alguien, cierto, por, un","ndani ya, katika","en"
"abdomen","bug","onderlijf, achterlijf","vatsa","ventre, abdomen","Unterleib","-","basso ventre","shitabara, fukubu, shitappara, shitahara, kafuku","venter, abdomen, alvus","mave, buk","ventre, abdômen","abdomen, vientre","-","underliv"
"aberration","fejl, afvigelse","aberratie, afwijking","virhe","erreur","Verirrung {f}, Abbildungsfehler {m}","kesalahan, salah","-","shuusa","error","villfarelse, avvik","erro, aberração, defeito","equivocación, error, desvio, desviación","kosa","-"
"able","dygtig","capabel, kundig, bekwaam","pätevä, kykenevä","valide, compétent, capable","kompetent, fähig, fähig","sanggup","adatto, capace, in grado, idoneo, abile","yuui","-","dyktig","capaz","apto, capaz, susceptible","enye akili","skicklig, duktig"
"about","om, omtrent","circulerend, in omloop","noin, ympärillä","concernant, quelque, autour de, environ","ungefähr, etwa, über, über/ungefähr","lebih kurang","intorno, verso, attorno, circa","sokosoko, yaku, ooyoso, tsuite, abauto, oyoso, kei","circa, de","om, i nærheten, ved, circa, omkring, omtrent","cerca, sobre","proximamente, alrededor, acerca de, acerca","-","vid, kring, ungefär, cirka, omkring"
"above","opad, oven","benoorden, ten noorden van","yläpuolella, ylhäällä","dessus, sur, au dessus, au dessus de, au delà de","oberhalb, über, obige","-","al di sopra, sopra, sù","ue, zenki, chokujou","super","ovenpå, over, oppe","sobre, acima","arriba, arribapor","juu","ovanför, ovan, över, uppe"
"abroad","udenfor","in het buitenland","ulkomailla","dehors, extérieur","im Ausland, überallhin","luar negeri","all'estero, in ogni direzione","zaigai, kaigai","-","utenfor, utenlands","no exterior","en el extranjero, fuera","ugenini, nje","utlandet, utomlands, utrikes"
"abrupt","stejl, pludselig","kortaf, bruusk, abrupt, bot, steil","äkillinen, jyrkkä","imprévu, brusque, raide, subit, abrupt, inattendu","plötzlich, hastig, abgebrochen, unerwartet","-","rapido","niwaka, fui","abscisus, abruptus, arduus","bratt, plutselig","abrupto","brusco, abrupto, escarpado, brusco, precipitado","-","abrupt, tvär, plötsligt, burdus, kantig"
"absent","fraværende","verstrooid","poissaoleva","absent","abwesend, abwesend, fernbleiben","tidak hadir, absen","mancante, restar lontano, assente","-","absens","fraværende","ausente","ausente","hako","borta, frånvarande"
"abuse","fornærmelse, fornærme, skælde","gescheld","kiduttaa","défaut, abuser, insulter, tourmenter, abusons","Schmähung, Mißbrauch, mißbrauchen","-","abuso","goyou, reiba, ran'you, batou, hibou, akuhei, akkou","absumptio, abuti, abusio","misbruke, misbruk, skjelle ut","abuso","abuso, usufructo, insulto","-","ovett, missbruk, smädelse, smäda"
"accent","lægge vægt på, betoning","accentueren, beklemtonen","mahtipontisuus","emphase, souligner, accentuer, accent","betonen, Betonung, Akzent {m}, Akzent {m}","-","accento, accentuare","gochou, kyouon, akusento, yokuyou","accentus","aksent, tonefall, uttale","acento, ênfase","reforzar, acento","-","brytning, betoning, tonfall, accent"
"accept","modtage","accepteren, aanvaarden","ottaa vastaan","agréer, agréent, acceptent, accepter, agréez","entgegennehmen, einsehen","menerima, terima","accogliere, gradire, assùmere, accettare","akuseputo","accipere","godta, ta imot","aceite, aceitar","aceptar, tomar","pokea","acceptera, antaga, godtaga, anamma"
"acceptance","-","aanvaarding, aanneming, onthaal","hyväksyminen","supposition, acceptation, accueil","Annahme {f}, Akzeptanz {f}, Akzept, Abnahme {f}","penerimaan","accoglienza, decrescenza, accettazione","shouin, shinnin, ukeire, judaku, juri, shouchi","acceptatio","godtagelse","aceitação","aceptación, disminucion","-","accept, antagande"
"accident","ulykke, ulykkestilfælde","ongeluk, accident, ongeval","tapaturma","accident","mißgeschick, Unfall","kecelakaan","incidente, accidente","henji, jiko, saika, yakusai, kashitsu, saiyaku","-","ulykke","acidente","desgracia, accidente","tukio baya","slump, olyckshändelse, olycka"
"accompany","ledsage","vergezellen, accompagneren, begeleiden","saattaa","accompagnez, accompagnent, accompagner","begleite, begleiten, zurückbegleiten","antar ... mengantar","accompagnare","douhan","-","ledsage","acompanhe, acompanhar","acompa ar, acompañar","kwenda na","ledsaga, följa, åtfölja, medfölja"
"accomplish","-","behalen, bereiken, inhalen","saavuttaa","confectionner, accomplissons, accomplissez","vollbringen, ausführen, vollbringe, vollenden","capai, mencapai","compiere, eseguire, effettuare, cómpiere","mattou","pervenire","fullføre, greie","realize","consumar, consumar, realizar, exportar, lograr","-","fullborda"
"accordion","trækharmonika","trekharmonika, accordeon","harmonikka","accordéon","Akkordeon {n}, Ziehharmonika {f}","harmonika","fisarmonica, fisarmònica","ako-dion, tefuukin","-","trekkspill","acordeão, acordeon","acordeón","-","dragspel"
"account","konto","rekening, conto","tili","supputation, demande, compte","Berechnung, Forderung, Konto/Rechnung, Konto","perhitungan","calcolo, càlcolo, conto, rapporto","kaikei, kiji, tsukedashi, akaunto","-","konto","cliente","calculo, postulado","hesabu","räkenskap, räkning, mellanhavande, redovisning"
"acid","sur","zuur","happo","aigre, acide","Säure","-","acido","sui, suppai, san","acidus","syre, sur","ácido","agriarse, acritud","-","syrlig, syra"
"across","tværs","over, overheen, aan de overkant van","poikki","en écharpe, au delà de, à travers, à travers","durch, über verschiedene, quer","lintang","diàmetro, attraverso, sopra, oltretomba","-","-","tvers over","através de","travieso, allende, diametro","katikati","över"
"act","handling, virke på, gøre","doen, bezig zijn, ageren, handelen","vaikuttaa, tehdä, teko, toimia","agissez, agissons, agir, construire, agissent","handeln, Akt {m}, Tat {f}","-","atto, vertere, azione, agire, funzionare, legge","koui, shiwaza, waza, okonai, shoi, okonai, sakui","actum, actio","spille","fazer, ato","acto, hacer, accionar, accion, versar","-","akt, handla, dåd, agera, verka, göra"
"action","handling","actie, handeling, optreden, gedoe","teko","action, activité","Aktion {f}, Handlung","-","effetto, azione, lamentela, procedimento","shigusa, akushon, dousa, okonai, okonai, shiuchi","factum, actum, actio","-","ação, acão, façanha, accão","pleito, accion, acción, efecto, acción","tendo","aktion, rättegång, process, gärning, handling"
"actor","skuespiller","speler, komediant, acteur","näyttelijä","acteur, comédien","Schauspieler, Schauspieler {m}, Akteur","peran","attore","shu, yuu, dan'yuu, rei, haiyuu, akuta-, hai, shou","-","skuespiller","actor, ator","actor","mcheza","skådespelare, aktör"
"ad","annonce","bericht, advertentie, aankondiging","ilmoitus","annonce","Zeitungsanzeige, Inserat","pemberitahuan, iklan, adpertensi","denuncia, annuncio, avviso, inserzione","ado","-","annonse","anúncio","indicacion, anuncio","tangazo","-"
"add","tilføje, addere","bijtellen, optellen","lisätä, laskea yhteen","rajouter, ajouter, ajoutent, ajoutons, additionner","zufügen, hinzufügen","tambah, menambah","aggiungere, integrare, addizionare, sommare","kasan","accensere, accommodare","legge til","adicione","suplementar, sumar, agregar","-","bifoga, tillägga, tillfoga, summera, lägga till"
